title,genres,popularity,vote_average,overview,genres_list,mood_label,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western,popularity_scaled,vote_scaled,cluster
The Hobbit: The Battle of the Five Armies,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",120.965743,7.1,"Immediately after the events of The Desolation of Smaug, Bilbo and the dwarves try to defend Erebor's mountain of treasure from others who claim it: the men of the ruined Laketown and the elves of Mirkwood. Meanwhile an army of Orcs led by Azog the Defiler is marching on Erebor, fueled by the rise of the dark lord Sauron. Dwarves, elves and men must unite, and the hope for Middle-Earth falls into Bilbo's hands.","['Action', 'Adventure', 'Fantasy']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.1178481735800054,0.86434594927386,0
The Amazing Spider-Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",89.866276,6.5,"Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.","['Action', 'Adventure', 'Fantasy']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1418544257654664,0.33826863268021473,0
Robin Hood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",37.668301,6.2,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.","['Action', 'Adventure']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5037267611151486,0.07522997438339211,0
The Hobbit: The Desolation of Smaug,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",94.370564,7.6,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.","['Adventure', 'Fantasy']",Neutral,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.28321237657395,1.302743713101898,0
The Golden Compass,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",42.990906,5.8,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.","['Adventure', 'Fantasy']",Neutral,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6707659326252715,-0.27548823667903855,0
King Kong,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",61.22601,6.6,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.","['Adventure', 'Drama', 'Action']",Sad,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2430377176930958,0.425948185445822,0
Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",100.025899,7.5,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.","['Drama', 'Romance', 'Thriller']",Sad,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,2.460693604846985,1.2150641603362906,0
Captain America: Civil War,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",198.372395,7.1,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.","['Adventure', 'Action', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.547099079753278,0.86434594927386,0
Battleship,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",64.928382,5.5,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.","['Thriller', 'Action', 'Adventure', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.359229159947833,-0.5385268949758611,0
Jurassic World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",418.708552,6.5,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.","['Action', 'Adventure', 'Science Fiction', 'Thriller']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12.461902849524725,0.33826863268021473,4
Skyfall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",93.004993,6.9,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.","['Action', 'Adventure', 'Thriller']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.2403566981085645,0.6889868437426454,0
Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",35.149586,6.7,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.","['Action', 'Adventure', 'Fantasy']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4246819950898435,0.51362773821143,0
Iron Man 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",77.68208,6.8,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.","['Action', 'Adventure', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.7594781259354106,0.6013072909770374,0
Alice in Wonderland,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",78.530105,6.4,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.","['Family', 'Fantasy', 'Adventure']",Neutral,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1.7860916720129183,0.25058907991460744,0
X-Men: The Last Stand,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3.857526,6.3,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","['Adventure', 'Action', 'Science Fiction', 'Thriller']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-0.5573558937343419,0.1629095271489994,1
Monsters University,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",89.186492,7.0,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,"['Animation', 'Family']",Neutral,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.1205207825276458,0.7766663965082526,0
Transformers: Revenge of the Fallen,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",21.939663,6.0,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.","['Science Fiction', 'Action', 'Adventure']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.010115332030586614,-0.10012913114782322,1
Transformers: Age of Extinction,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",116.840296,5.8,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.","['Science Fiction', 'Action', 'Adventure']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2.988379379824143,-0.27548823667903855,0
Oz: The Great and Powerful,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",46.985445,5.7,"Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.","['Fantasy', 'Adventure', 'Family']",Neutral,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.7961264440900288,-0.36316778944464584,0
The Amazing Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",89.270217,6.5,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.","['Action', 'Adventure', 'Fantasy']",Angry,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1231483219814824,0.33826863268021473,0
TRON: Legacy,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",73.79505,6.3,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.","['Adventure', 'Action', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.6374915665655172,0.1629095271489994,0
Cars 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",49.98659,5.8,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,"['Animation', 'Family', 'Adventure', 'Comedy']",Happy,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.8903112980068134,-0.27548823667903855,0
Green Lantern,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",51.872839,5.1,"For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.","['Adventure', 'Action', 'Thriller', 'Science Fiction']",Angry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.949507400332986,-0.8892451060382919,1
Toy Story 3,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",59.995418,7.6,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.","['Animation', 'Family', 'Comedy']",Happy,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.2044180816038152,1.302743713101898,0
Terminator Salvation,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",71.862892,5.9,"All grown up in post-apocalyptic 2018, John Connor must lead the resistance of humans against the increasingly dominating militaristic robots. But when Marcus Wright appears, his existence confuses the mission as Connor tries to determine whether Wright has come from the future or the past -- and whether he's friend or foe.","['Action', 'Science Fiction', 'Thriller']",Angry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1.5768547033102773,-0.1878086839134305,0
Furious 7,"[{""id"": 28, ""name"": ""Action""}]",102.322217,7.3,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,['Action'],Angry,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5327588917213224,1.0397050548050752,0
World War Z,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",81.834855,6.7,"Life for former United Nations investigator Gerry Lane and his family seems content. Suddenly, the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies. After barely escaping the chaos, Lane is persuaded to go on a mission to investigate this disease. What follows is a perilous trek around the world where Lane must brave horrific dangers and long odds to find answers before human civilization falls.","['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']",Angry,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1.889804553590281,0.51362773821143,0
